(114, 1080, 1086)
(114, 352, 370)
(114, 152, 190)
(115, 6612, 6613)
(115, 1320, 1325)
(115, 276, 299)
(115, 252, 277)
(116, 3363, 3365)
(116, 1680, 1684)
(116, 837, 845)
(117, 6844, 6845)
(117, 2280, 2283)
(117, 756, 765)
(117, 520, 533)
(117, 240, 267)
(117, 156, 195)
(118, 3480, 3482)
(119, 7080, 7081)
(119, 1008, 1015)
(119, 408, 425)
(119, 120, 169)
(120, 3599, 3601)
(120, 1798, 1802)
(120, 1197, 1203)
(120, 896, 904)
(120, 715, 725)
(120, 594, 606)
(120, 442, 458)
(120, 391, 409)
(120, 350, 370)
(120, 288, 312)
(120, 225, 255)
(120, 209, 241)
(120, 182, 218)
(120, 160, 200)
(120, 126, 174)
(121, 7320, 7321)
(121, 660, 671)
(122, 3720, 3722)
(123, 7564, 7565)
(123, 2520, 2523)
(123, 836, 845)
(123, 164, 205)
(124, 3843, 3845)
(124, 1920, 1924)
(124, 957, 965)
(125, 7812, 7813)
(125, 1560, 1565)
(125, 300, 325)
(126, 3968, 3970)
(126, 1320, 1326)
(126, 560, 574)
(126, 432, 450)
(126, 168, 210)
(127, 8064, 8065)
(128, 4095, 4097)
(128, 2046, 2050)
(128, 1020, 1028)
(128, 504, 520)
(128, 240, 272)
(129, 8320, 8321)
(129, 2772, 2775)
(129, 920, 929)
(129, 172, 215)
(130, 4224, 4226)
(130, 840, 850)
(130, 312, 338)
(130, 144, 194)
(131, 8580, 8581)
(132, 4355, 4357)
(132, 2176, 2180)
(132, 1449, 1455)
(132, 1085, 1093)
(132, 720, 732)
(132, 475, 493)
(132, 385, 407)
(132, 351, 375)
(132, 224, 260)
(132, 176, 220)
(133, 8844, 8845)
(133, 1260, 1267)
(133, 456, 475)
(133, 156, 205)
(134, 4488, 4490)
(135, 9112, 9113)
(135, 3036, 3039)
(135, 1820, 1825)
(135, 1008, 1017)
(135, 600, 615)
(135, 352, 377)
(135, 324, 351)
(135, 180, 225)
(136, 4623, 4625)
(136, 2310, 2314)
(136, 1152, 1160)
(136, 570, 586)
(136, 273, 305)
(136, 255, 289)
(137, 9384, 9385)
(138, 4760, 4762)
(138, 1584, 1590)
(138, 520, 538)
(138, 184, 230)
(139, 9660, 9661)
(140, 4899, 4901)
(140, 2448, 2452)
(140, 1221, 1229)
(140, 975, 985)
(140, 693, 707)
(140, 480, 500)
(140, 336, 364)
(140, 225, 265)
(140, 171, 221)
(140, 147, 203)
(141, 9940, 9941)
(141, 3312, 3315)
(141, 1100, 1109)
(141, 188, 235)
(142, 5040, 5042)
(143, 10224, 10225)
(143, 924, 935)
(143, 780, 793)
(144, 5183, 5185)
(144, 2590, 2594)
(144, 1725, 1731)
(144, 1292, 1300)
(144, 858, 870)
(144, 640, 656)
(144, 567, 585)
(144, 420, 444)
(144, 308, 340)
(144, 270, 306)
(144, 192, 240)
(144, 165, 219)
(145, 10512, 10513)
(145, 2100, 2105)
(145, 408, 433)
(145, 348, 377)
(146, 5328, 5330)
(147, 10804, 10805)
(147, 3600, 3603)
(147, 1540, 1547)
(147, 1196, 1205)
(147, 504, 525)
(147, 196, 245)
(148, 5475, 5477)
(148, 2736, 2740)
(148, 1365, 1373)
(149, 11100, 11101)
(150, 5624, 5626)
(150, 1872, 1878)
(150, 1120, 1130)
(150, 616, 634)
(150, 360, 390)
(150, 200, 250)
(151, 11400, 11401)
(152, 5775, 5777)
(152, 2886, 2890)
(152, 1440, 1448)
(152, 714, 730)
(152, 345, 377)
(152, 285, 323)
(153, 11704, 11705)
(153, 3900, 3903)
(153, 1296, 1305)
(153, 680, 697)
(153, 420, 447)
(153, 204, 255)
(154, 5928, 5930)
(154, 840, 854)
(154, 528, 550)
(155, 12012, 12013)
(155, 2400, 2405)
(155, 468, 493)
(155, 372, 403)
(156, 6083, 6085)
(156, 3040, 3044)
(156, 2025, 2031)
(156, 1517, 1525)
(156, 1008, 1020)
(156, 667, 685)
(156, 495, 519)
(156, 455, 481)
(156, 320, 356)
(156, 208, 260)
(157, 12324, 12325)
(158, 6240, 6242)
(159, 12640, 12641)
(159, 4212, 4215)
(159, 1400, 1409)
(159, 212, 265)
(160, 6399, 6401)
(160, 3198, 3202)
(160, 1596, 1604)
(160, 1275, 1285)
(160, 792, 808)
(160, 630, 650)
(160, 384, 416)
(160, 300, 340)
(160, 231, 281)
(160, 168, 232)
(161, 12960, 12961)
(161, 1848, 1855)
(161, 552, 575)
(161, 240, 289)
(162, 6560, 6562)
(162, 2184, 2190)
(162, 720, 738)
(162, 216, 270)
(163, 13284, 13285)
(164, 6723, 6725)
(164, 3360, 3364)
(164, 1677, 1685)
(165, 13612, 13613)
(165, 4536, 4539)
(165, 2720, 2725)
(165, 1508, 1517)
(165, 1232, 1243)
(165, 900, 915)
(165, 532, 557)
(165, 396, 429)
(165, 280, 325)
(165, 220, 275)
